제목,감독이름,제작국가,개봉일,장르,누적관객수,누적매출액
007 노 타임 투 다이,,,2021-09-29,,1224745,11975031500
용과 주근깨 공주,,,2021-09-29,,63985,621588100
수색자,,,2021-09-29,,16240,118663820
F20,,,2021-10-06,,12916,92376400
베놈 2: 렛 데어 비 카니지,,,2021-10-13,,2120352,21086490080
노회찬6411,,,2021-10-14,,23697,210898510
십개월의 미래 ,,,2021-10-14,,8718,62030800
듄,,,2021-10-20,,1570974,17233468470
라스트 듀얼: 최후의 결투,,,2021-10-20,,52560,502776600
태일이,,,2021-12-01,,110971,922119390
고장난 론,,,2021-10-27,,150718,1367705200
아네트,,,2021-10-27,,35530,312709550
애프터: 관계의 함정,,,2021-10-27,,13593,120723990
바다 탐험대 옥토넛 : 육지수호 대작전,,,2021-10-27,,19740,170720800
이터널스,,,2021-11-03,,3045764,31689629240
세버그,,,2021-11-04,,6058,59920840
강릉,,,2021-11-10,,302201,3133412970
아담스 패밀리 2,,,2021-11-10,,103231,927623400
귀멸의 칼날: 남매의 연,,,2021-11-10,,60315,597668430
장르만 로맨스,,,2021-11-17,,468794,4741742130
"틱, 틱... 붐!",,,2021-11-12,,7028,63165780
디어 에반 핸슨,,,2021-11-17,,96800,983766320
프렌치 디스패치,,,2021-11-18,,62506,678944080
귀멸의 칼날: 나타구모산 편,,,2021-11-17,,29653,290458520
유체이탈자,,,2021-11-24,,809394,7888571820
엔칸토: 마법의 세계,,,2021-11-24,,629784,5972786580
연애 빠진 로맨스,,,2021-11-24,,604674,6137328220
돈 룩 업,,,2021-12-08,,68375,668069180
고스트버스터즈 라이즈,,,2021-12-01,,110305,1034702810
몬스타엑스 : 더 드리밍,,,2021-12-08,,28387,453384000
극장판 소드 아트 온라인 -프로그레시브- 별 없는 밤의 아리아,,,2021-12-09,,29849,322398600
스파이더맨: 노 웨이 홈,,,2021-12-15,,7544778,75131299040
킹메이커,,,2022-01-26,,775294,7332292780
킹스맨: 퍼스트 에이전트,,,2021-12-22,,1023394,10272238070
매트릭스: 리저렉션,,,2021-12-22,,208540,2090696680
신데렐라 2: 마법에 걸린 왕자,,,2021-12-22,,35749,314841420
드라이브 마이 카,,,2021-12-23,,38796,366135460
해피 뉴 이어,,,2021-12-29,,225947,2118301200
램,,,2021-12-29,,13654,125564840
원샷,,,2022-01-10,,6432,6601000
경관의 피,,,2022-01-05,,681379,6714012120
씽2게더,,,2022-01-05,,867308,8031144820
특송,,,2022-01-12,,438474,4147632000
웨스트 사이드 스토리,,,2022-01-12,,107683,1105324820
하우스 오브 구찌,,,2022-01-12,,134546,1333572060
클리포드 더 빅 레드 독,,,2022-01-12,,20065,181509010
비욘드라이브 더 무비 : 엔시티 레조넌스,,,2022-01-12,,13578,203666500
레지던트 이블: 라쿤시티,,,2022-01-19,,19983,182258670
해적: 도깨비 깃발,,,2022-01-26,,1326713,12434447990
어나더 라운드,,,2022-01-19,,28290,262040150
극장판 안녕 자두야: 제주도의 비밀,,,2022-01-27,,101957,896295520
장민호 드라마 최종회,,,2022-01-24,,9825,185762700
나일 강의 죽음,,,2022-02-09,,224663,2175150080
355,,,2022-02-09,,30563,282405060
나의 촛불,,,2022-02-10,,36204,363065470
만년이 지나도 변하지 않는 게 있어,,,2022-02-09,,14184,133970900
언차티드,,,2022-02-16,,727533,7093031200
극장판 주술회전 0,,,2022-02-17,,694278,6927516658
리코리쉬 피자,,,2022-02-16,,11427,118886860
극장판 바다 탐험대 옥토넛 : 해저동굴 대탈출	,,,2022-02-17,,23093,191304300
안테벨룸,,,2022-02-23,,90469,861641050
인민을 위해 복무하라,,,2022-02-23,,72761,673793650
나이트메어 앨리,,,2022-02-23,,38392,378519920
시라노,,,2022-02-23,,15891,136603400
더 배트맨,,,2022-03-01,,901534,9311288610
이상한 나라의 수학자,,,2022-03-09,,524657,4980149720
나의 히어로 아카데미아 더 무비: 월드 히어로즈 미션,,,2022-03-09,,44800,434173120
블랙라이트,,,2022-03-09,,23939,220349590
문폴,,,2022-03-16,,190606,1936780100
스펜서,,,2022-03-16,,75504,721227930
메리 미,,,2022-03-16,,9190,64428700
하늘의 푸르름을 아는 사람이여,,,2022-03-16,,7993,72168680
뜨거운 피,,,2022-03-23,,390675,3737156970
벨파스트,,,2022-03-23,,8614,79118100
에펠,,,2022-03-23,,6213,57500330
뱅드림! 팝핀' 드림!,,,2022-03-24,,4965,49157970
킹 리차드,,,2022-03-24,,4917,49771400
모비우스,,,2022-03-30,,470699,4638346390
배니싱: 미제사건,,,2022-03-30,,27075,240861910
패러렐 마더스,,,2022-03-31,,5341,49666400
극장판 시그널,,,2022-03-31,,4258,29195800
수퍼 소닉2,,,2022-04-06,,305042,2775496690
앰뷸런스,,,2022-04-06,,108297,1093011040
스텔라,,,2022-04-06,,87823,798436230
루이스 웨인: 사랑을 그린 고양이 화가,,,2022-04-06,,36926,361177120
불도저에 탄 소녀,,,2022-04-07,,6043,53960870
신비한 동물들과 덤블도어의 비밀,,,2022-04-13,,1191660,12276312180
말임씨를 부탁해,,,2022-04-13,,9044,73160430
앵커,,,2022-04-20,,157897,1545616170
공기살인,,,2022-04-22,,154371,1446976050
로스트 시티,,,2022-04-20,,101714,946601780
세븐틴 파워 오브 러브 : 더 무비,,,2022-04-20,,41513,830004000
니 부모 얼굴이 보고 싶다,,,2022-04-27,,402616,3873342180
서울괴담,,,2022-04-27,,109060,1041926320
봄날,,,2022-04-27,,22575,167966360
닥터 스트레인지: 대혼돈의 멀티버스,,,2022-05-04,,5881010,62612708140
배드 가이즈,,,2022-05-04,,392762,3735229200
극장판 엉덩이 탐정: 수플레 섬의 비밀,,,2022-05-05,,147175,1363352140
우연과 상상,,,2022-05-04,,8655,87886000
토르: 마법 검의 전설,,,2022-05-04,,7835,68464400
범죄도시2,,,2022-05-18,,12684545,131206953040
민스미트 작전,,,2022-05-11,,33167,320763810
엄마,,,2022-05-11,,16040,141412900
어부바,,,2022-05-11,,19807,164791470
"아치의 노래, 정태춘",,,2022-05-18,,22087,213221820
그대가 조국,,,2022-05-25,,324501,3028475070
안녕하세요,,,2022-05-25,,16177,123435560
몬스터 싱어: 매직 인 파리,,,2022-05-26,,12260,107912320
뜨거운 피: 디 오리지널,,,2022-05-26,,9523,78526200
피는 물보다 진하다,,,2022-05-25,,14075,89808100
오마주,,,2022-05-26,,6774,55828400
쥬라기 월드: 도미니언,,,2022-06-01,,2832241,29194745990
극장판 포켓몬스터DP: 기라티나와 하늘의 꽃다발 쉐이미,,,2022-06-01,,577402,5442074270
카시오페아,,,2022-06-01,,18749,176440500
애프터 양,,,2022-06-01,,22114,222047590
특수요원 빼꼼,,,2022-06-01,,11066,101685400
브로커,,,2022-06-08,,1254445,12539931030
탑건: 매버릭,,,2022-06-22,,8156312,87637459439
마녀(魔女) Part2. The Other One,,,2022-06-15,,2799699,28868170770
버즈 라이트이어,,,2022-06-15,,338836,3476340660
실종,,,2022-06-15,,5506,55498300
극장판 윌벤져스 : 수상한 캠핑 대소동,,,2022-06-23,,26013,262047700
헤어질 결심,,,2022-06-29,,1860462,19302624258
룸 쉐어링,,,2022-06-22,,10293,88382690
컴온 컴온,,,2022-06-30,,7534,76013600
토르: 러브 앤 썬더,,,2022-07-06,,2709699,29437454744
빅샤크4: 바다공룡 대모험,,,2022-07-06,,58315,520942680
큐어,,,2022-07-06,,11442,122001600
BIFAN2022 부천 초이스: 단편 1,,, ,,5660,28300000
명탐정 코난: 할로윈의 신부,,,2022-07-13,,476531,4957182139
엘비스,,,2022-07-13,,77260,830288570
더 킬러: 죽어도 되는 아이,,,2022-07-13,,56135,576637400
뒤틀린 집,,,2022-07-13,,24304,238512700
외계+인 1부,,,2022-07-20,,1521715,15859881850
미니언즈2,,,2022-07-20,,2263349,21951863534
그레이 맨,,,2022-07-13,,25480,246156860
한산: 용의 출현,,,2022-07-27,,7250017,73592629282
뽀로로 극장판 드래곤캐슬 대모험,,,2022-07-28,,433372,4057887335
비상선언,,,2022-08-03,,2043887,20792013696
썸머 필름을 타고!,,,2022-07-20,,20468,195879920
극장판 도라에몽: 진구의 우주소전쟁 리틀스타워즈 2021,,,2022-08-03,,36417,346253298
헌트,,,2022-08-10,,4344403,44530836970
DC 리그 오브 슈퍼-펫,,,2022-08-10,,237376,2232056701
바다 탐험대 옥토넛 : 탐험선 대작전,,,2022-08-11,,64537,609954950
놉,,,2022-08-17,,398082,4533641209
육사오(6/45),,,2022-08-24,,1958368,19608794463
불릿 트레인,,,2022-08-24,,136146,1494845103
리미트,,,2022-08-31,,58955,550817703
시맨틱 에러: 더 무비,,,2022-08-31,,29314,353096300
공조2: 인터내셔날,,,2022-09-07,,6974139,70856185317
극장판 엄마 까투리: 도시로 간 까투리 가족,,,2022-09-08,,162819,1524750219
블랙폰,,,2022-09-07,,101330,1038207347
"어쩌다 공주, 닭냥이 왕자를 부탁해!",,,2022-09-08,,36939,356911082
인생은 뷰티풀: 비타돌체,,,2022-09-07,,37746,1279676500
늑대사냥,,,2022-09-21,,452970,4707401078
아바타 리마스터링,,,2022-09-21,,230712,3895090540
정직한 후보2,,,2022-09-28,,879037,8289059583
극장판 5등분의 신부,,,2022-09-22,,33952,378218800
인생은 아름다워,,,2022-09-28,,1158887,10793990104
프린세스 아야,,,2022-09-21,,13493,112473397
극장판 짱구는 못말려: 수수께끼! 꽃피는 천하떡잎학교,,,2022-09-28,,827170,8289250603
극장판 헬로카봇: 수상한 마술단의 비밀,,,2022-09-28,,213585,2006349180
컴백홈,,,2022-10-05,,37576,349953832
스마일,,,2022-10-06,,97440,1038453082
고고다이노 극장판: 얼음공룡의 비밀,,,2022-10-05,,28056,253017713
오펀: 천사의 탄생,,,2022-10-12,,172253,1750756115
에브리씽 에브리웨어 올 앳 원스,,,2022-10-12,,343111,3665584771
티켓 투 파라다이스,,,2022-10-12,,42365,406395158
대무가,,,2022-10-12,,59964,540303256
블랙 아담,,,2022-10-19,,776134,8008769316
귀못,,,2022-10-19,,41423,348694600
자백,,,2022-10-26,,727565,7257201443
리멤버,,,2022-10-26,,402006,3884703669
아인보: 아마존의 전설,,,2022-10-26,,47824,373563979
고속도로 가족,,,2022-11-02,,17106,135048700
가재가 노래하는 곳,,,2022-11-02,,9671,97186684
블랙 팬서: 와칸다 포에버,,,2022-11-09,,2102015,22168419209
극장판 소드 아트 온라인 -프로그레시브- 짙은 어둠의 스케르초,,,2022-11-10,,9831,111488700
데시벨,,,2022-11-16,,894259,8798421762
동감,,,2022-11-16,,482309,4691192897
폴: 600미터,,,2022-11-16,,78494,789907856
한산 리덕스,,,2022-11-16,,10883,105173528
올빼미,,,2022-11-23,,3317511,32744008527
스트레인지 월드,,,2022-11-23,,67566,623050775
유포자들,,,2022-11-23,,16160,107364600
양자경의 더 모든 날 모든 순간,,,2022-11-23,,10740,122114169
압꾸정,,,2022-11-30,,601644,5678302163
탄생,,,2022-11-30,,325724,2930747491
원피스 필름 레드,,,2022-11-30,,184609,1975324848
극장판 뽀로로와 친구들: 바이러스를 없애줘!,,,2022-12-01,,197213,1777163300
"오늘 밤, 세계에서 이 사랑이 사라진다 해도",,,2022-11-30,,1214122,12252231909
엔시티 드림 더 무비 : 인 어 드림,,,2022-11-30,,51414,1027919600
프레이 포 더 데블,,,2022-12-07,,67191,681867782
신비아파트 극장판 차원도깨비와 7개의 세계,,,2022-12-14,,425367,4063515418
아바타: 물의 길,,,2022-12-14,,10772840,137257671187
스페이스 키드: 우주에서 살아남기,,,2022-12-07,,26900,215957450
영웅,,,2022-12-21,,3230573,31915581781
눈의 여왕5: 스노우 프린세스와 미러랜드의 비밀,,,2022-12-22,,137487,1271229597
핑크퐁 시네마 콘서트 2: 원더스타 콘서트 대작전,,,2022-12-21,,26490,249894974
스위치,,,2023-01-04,,396531,3790138312
젠틀맨,,,2022-12-28,,213509,2021519631
몬스터 신부: 101번째 프로포즈,,,2022-12-28,,25652,235671900
더 퍼스트 슬램덩크,,,2023-01-04,,4847680,50687486308
장화신은 고양이: 끝내주는 모험,,,2023-01-04,,823213,7801669571
프린스 챠밍,,,2023-01-11,,10203,89246300
유령,,,2023-01-18,,653094,6654060340
교섭,,,2023-01-18,,1697864,17236586783
캐리와 슈퍼콜라,,,2023-01-18,,87211,824147830
라일 라일 크로커다일,,,2023-01-18,,25987,249224247
상견니,,,2023-01-25,,328035,3256854530
메간,,,2023-01-25,,196074,1999474006
바빌론,,,2023-02-01,,187122,1876545604
방탄소년단: 옛 투 컴 인 시네마,,,2023-02-01,,60467,1330179500
다음 소희,,,2023-02-08,,66235,639178551
앤트맨과 와스프: 퀀텀매니아,,,2023-02-15,,1542582,16259619630
어메이징 모리스,,,2023-02-15,,85345,756262728
두다다쿵: 후후섬의 비밀,,,2023-02-15,,79007,719074157
카운트,,,2023-02-22,,382093,3643028646
서치 2,,,2023-02-22,,395500,3892625634
마루이 비디오,,,2023-02-22,,153522,1574142500
바다 탐험대 옥토넛 육지수호 대작전 : 열대우림을 지켜라!,,,2023-02-23,,23840,213803500
대외비,,,2023-03-01,,742022,7336117595
"귀멸의 칼날: 상현집결, 그리고 도공 마을로",,,2023-03-02,,523600,6448899400
아임 히어로 더 파이널,,,2023-03-01,,230181,5563727000
멍뭉이,,,2023-03-01,,147610,1399656884
스즈메의 문단속,,,2023-03-08,,5567283,57044797267
똑똑똑,,,2023-03-08,,21686,214876427
소울메이트,,,2023-03-15,,231879,2244219200
샤잠! 신들의 분노,,,2023-03-15,,63133,673792804
에브리씽 에브리웨어 올 앳 원스+,,,2023-03-01,,101563,1045591773
플레인,,,2023-03-15,,25476,241411256
치킨래빗: 잃어버린 보물을 찾아서,,,2023-03-18,,53211,471035200
웅남이,,,2023-03-22,,307689,2820921472
파벨만스,,,2023-03-22,,58377,593099127
모나리자와 블러드 문,,,2023-03-22,,16289,147766899
던전 앤 드래곤: 도적들의 명예,,,2023-03-29,,290324,2900098080
오토라는 남자,,,2023-03-29,,33800,305832317
리바운드,,,2023-04-05,,685376,6586640868
에어,,,2023-04-05,,101689,990889901
존 윅 4,,,2023-04-12,,1913536,19844662953
카구야 님은 고백받고 싶어 -첫 키스는 끝나지 않아-,,,2023-04-06,,11980,136089900
킬링 로맨스,,,2023-04-14,,185161,1775730309
거울 속 외딴 성,,,2023-04-12,,36649,362122420
옥수역귀신,,,2023-04-19,,223640,2384109600
렌필드,,,2023-04-19,,47555,452640927
슈퍼 마리오 브라더스,,,2023-04-26,,2387766,23494358688
드림,,,2023-04-26,,1107622,10670875941
무명,,,2023-04-26,,15976,142525009
가디언즈 오브 갤럭시: Volume 3,,,2023-05-03,,4202900,44295254776
극장판 짱구는 못말려: 동물소환 닌자 배꼽수비대,,,2023-05-04,,727223,7213704222
문재인입니다,,,2023-05-10,,104822,1019257518
롱디,,,2023-05-10,,25914,216032800
분노의 질주: 라이드 오어 다이,,,2023-05-17,,1770063,18441186654
슬픔의 삼각형,,,2023-05-17,,38178,373764997
인어공주,,,2023-05-24,,643013,6622116521
범죄도시3,,,2023-05-31,,10673784,104614006978
아기공룡 둘리-얼음별 대모험,,,1996-07-24,,85485,819178999
남은 인생 10년,,,2023-05-24,,557775,5671172733
트랜스포머: 비스트의 서막,,,2023-06-06,,757601,7668078235
엘리멘탈,,,2023-06-14,,7205607,70806508242
플래시,,,2023-06-14,,625995,6648454904
귀공자,,,2023-06-21,,678924,6669367723
스파이더맨: 어크로스 더 유니버스,,,2023-06-21,,899320,9278825288
명탐정코난: 하이바라 아이 이야기 ~흑철의 미스터리 트레인,,,2023-06-23,,69283,722210300
수라,,,2023-06-21,,19222,172810105
인디아나 존스: 운명의 다이얼,,,2023-06-28,,849616,8404532508
"2022 영탁 단독 콘서트 ""탁쇼""",,,2023-06-28,,32667,783934000
애스터로이드 시티,,,2023-06-28,,29075,288009694
미션 임파서블: 데드 레코닝 PART ONE,,,2023-07-12,,4013101,40344289142
악마들,,,2023-07-05,,80476,805214658
보 이즈 어프레이드,,,2023-07-05,,53884,539801530
극장판 도라에몽: 진구와 하늘의 유토피아,,,2023-07-08,,62072,557983900
명탐정코난: 흑철의 어영,,,2023-07-20,,796713,7654373755
바비,,,2023-07-19,,555767,5448229713
인시디어스: 빨간 문,,,2023-07-19,,393323,4008546879
극장판 슈퍼윙스: 맥시멈 스피드,,,2023-07-20,,95297,858751565
밀수,,,2023-07-26,,5113127,49397693096
핑크퐁 시네마 콘서트3 : 진저브레드맨을 잡아라,,,2023-07-26,,24222,210526500
더 문,,,2023-08-02,,483231,4887972709
비공식작전,,,2023-08-02,,1041899,10034040641
몬스터 패밀리 2,,,2023-08-02,,99769,859293854
콘크리트 유토피아,,,2023-08-09,,3840463,37342791632
바다 탐험대 옥토넛 어보브 앤 비욘드 : 육지 넘어 하늘까지!,,,2023-08-10,,69558,621689150
오펜하이머,,,2023-08-15,,3208000,34106908972
달짝지근해: 7510,,,2023-08-15,,1371744,13304086012
보호자,,,2023-08-15,,123511,1200062696
메가로돈 2,,,2023-08-15,,123324,1290341499
마야 3: 숲속 왕국의 위기,,,2023-08-24,,44822,370265500
타겟,,,2023-08-30,,415063,3917755690
스파이 코드명 포춘,,,2023-08-30,,36397,338826524
신체모음.zip,,,2023-08-30,,51250,473262700
조이 라이드,,,2023-08-30,,10257,87337989
잠,,,2023-09-06,,1463111,13833745416
베니스 유령 살인사건,,,2023-09-13,,191470,1873525229
닌자터틀: 뮤턴트 대소동,,,2023-09-14,,50872,467263781
아이유 콘서트 : 더 골든 아워,,,2023-09-13,,66926,1573553500
"여름을 향한 터널, 이별의 출구",,,2023-09-14,,61902,636858000
가문의 영광: 리턴즈,,,2023-09-21,,156442,1504198215
그란 투리스모,,,2023-09-20,,105058,1051631783
아르고 원정대: 꼬마 영웅 패티의 대모험,,,2023-09-21,,64267,582451488
천박사 퇴마 연구소: 설경의 비밀,,,2023-09-27,,1901915,18509843557
1947 보스톤,,,2023-09-27,,1010900,9350162338
거미집,,,2023-09-27,,308803,2963063021
더 넌 2,,,2023-09-27,,350450,3646521705
극장판 엉덩이 탐정: 미스터리 가면 ~최강의 대결,,,2023-09-28,,120951,1102009160
30일,,,2023-10-03,,2161133,21220095902
크리에이터,,,2023-10-03,,249169,2647836950
퍼피 구조대: 더 마이티 무비,,,2023-10-06,,114678,1074575056
사나: 저주의 아이,,,2023-10-04,,66691,657606000
화란,,,2023-10-11,,254539,2456680992
화사한 그녀,,,2023-10-11,,84236,769755700
플라워 킬링 문,,,2023-10-19,,161754,1529850989
엑소시스트: 믿는 자,,,2023-10-18,,78260,808544882
익스펜더블 4,,,2023-10-18,,50222,484594060
블루 자이언트,,,2023-10-18,,100736,980401091
바람 따라 만나리 : 김호중의 계절,,,2023-10-18,,39295,906717500
그대들은 어떻게 살 것인가,,,2023-10-25,,1991071,19391314658
용감한 시민,,,2023-10-25,,261933,2402851487
소년들,,,2023-11-01,,452312,4303755719
톡 투 미,,,2023-11-01,,173374,1661107262
테일러 스위프트 디 에라스 투어,,,2023-11-03,,13723,397500500
더 마블스,,,2023-11-08,,678697,6739449809
뉴 노멀,,,2023-11-08,,96398,933759458
프레디의 피자가게,,,2023-11-15,,709645,6934650101
헝거게임: 노래하는 새와 뱀의 발라드,,,2023-11-15,,168880,1662938003
서울의 봄,,,2023-11-22,,13114138,127803459213
스노우 폭스: 썰매개가 될 거야!,,,2023-11-23,,82804,680299446
괴물,,,2023-11-29,,475358,4681017994
이빨요정 비올레타: 요정나라로 돌아갈래!,,,2023-11-18,,41317,347130400
싱글 인 서울,,,2023-11-29,,381205,3569191206
극장판 파워 디지몬 더 비기닝,,,2023-11-29,,24440,237344200
극장판 우당탕탕 은하안전단: 진정한 용기!,,,2023-11-30,,22117,166812610
3일의 휴가,,,2023-12-06,,487497,4597259062
나폴레옹,,,2023-12-06,,208098,2089569868
뽀로로 극장판 슈퍼스타 대모험,,,2023-12-13,,357851,3284139142
엔시티 네이션 : 투 더 월드 인 시네마,,,2023-12-06,,19906,442017500
쏘우 X,,,2023-12-13,,50316,524302177
말하고 싶은 비밀,,,2023-12-13,,65521,629794156
노량: 죽음의 바다,,,2023-12-20,,4550731,44804244586
아쿠아맨과 로스트 킹덤,,,2023-12-20,,868684,8898401492
신차원! 짱구는 못말려 더 무비 초능력 대결전 ~날아라 수제김밥~,,,2023-12-22,,907283,8779815400
트롤: 밴드 투게더,,,2023-12-20,,396373,3663304436
크레센도,,,2023-12-20,,19125,210759900
도티와 영원의 탑,,,2023-12-27,,41696,388161976
"바다 탐험대 옥토넛 어보브 앤 비욘드: 버드, 옥토경보를 울려라!",,,2023-12-27,,60669,495304260
류이치 사카모토: 오퍼스,,,2023-12-27,,31195,286201031
위시,,,2024-01-03,,1385854,13221556880
외계+인 2부,,,2024-01-10,,1406244,13564277654
인투 더 월드,,,2024-01-10,,332104,3026494116
길위에 김대중,,,2024-01-10,,110919,1068022451
시민덕희,,,2024-01-24,,1695197,16025654774
덤 머니,,,2024-01-17,,24992,233432545
도그맨,,,2024-01-24,,35065,330540933
웡카,,,2024-01-31,,3526209,33906635610
건국전쟁,,,2024-02-01,,1160625,10792964189
추락의 해부,,,2024-01-31,,71268,705476954
정글번치: 월드투어,,,2024-01-31,,20714,164238900
도그데이즈,,,2024-02-07,,364811,3548049613
데드맨,,,2024-02-07,,231476,2211484835
소풍,,,2024-02-07,,332667,2977628149
아가일,,,2024-02-07,,135539,1395932780
아기상어 극장판: 사이렌 스톤의 비밀,,,2024-02-07,,95668,847021633
"귀멸의 칼날: 인연의 기적, 그리고 합동 강화 훈련으로",,,2024-02-14,,479674,5442660700
파묘,,,2024-02-22,,11898834,115011243685
사운드 오브 프리덤,,,2024-02-21,,43217,479900700
브레드이발소: 셀럽 인 베이커리타운,,,2024-03-01,,185323,1586554980
듄: 파트2,,,2024-02-28,,1993107,23350610937
아이엠 티라노,,,2024-03-01,,45256,380985500
바튼 아카데미,,,2024-02-21,,24393,231820474
가여운 것들,,,2024-03-06,,146666,1465779256
패스트 라이브즈,,,2024-03-06,,107530,992260558
밥 말리: 원 러브,,,2024-03-13,,27283,250117549
랜드 오브 배드,,,2024-03-13,,40965,350177666
메이 디셈버,,,2024-03-13,,23931,224006569
극장판 스파이 패밀리 코드 : 화이트,,,2024-03-20,,261502,2611007725
나이트 스윔,,,2024-03-20,,14090,133484800
탐정 말로,,,2024-03-21,,13041,98410200
댓글부대,,,2024-03-27,,970832,9225408733
고질라 X 콩: 뉴 엠파이어,,,2024-03-27,,506726,5076739231
1980,,,2024-03-27,,32237,291901745
악은 존재하지 않는다,,,2024-03-27,,19308,196186256
오멘: 저주의 시작,,,2024-04-03,,174052,1789740877
비키퍼,,,2024-04-03,,97197,908032505
유미의 세포들 더 무비,,,2024-04-03,,49392,378685320
기동전사 건담 시드 프리덤,,,2024-04-03,,36235,398095581
쿵푸팬더4,,,2024-04-10,,1766417,16493657847
골드핑거,,,2024-04-10,,27872,248314956
슈가│어거스트 디 투어 ‘디-데이’ 더 무비,,,2024-04-10,,20624,595317500
고스트버스터즈: 오싹한 뉴욕,,,2024-04-17,,49520,455139403
범죄도시4,,,2024-04-24,,11492094,109952243841
스턴트맨,,,2024-05-01,,203085,2076288744
챌린저스,,,2024-04-24,,64634,631895699
몬스터 프렌즈,,,2024-04-25,,7403,62209195
레옹 ,,,1995-02-18,,65365,488843702
"포켓몬스터: 성도지방 이야기, 최종장",,,2024-05-01,,150856,1329479845
꼬마참새 리차드: 신비한 보석 탐험대,,,2024-05-01,,17798,146199300
극장판 실바니안 패밀리: 프레야의 선물,,,2024-05-01,,13753,107404850
혹성탈출: 새로운 시대,,,2024-05-08,,898588,9093027958
악마와의 토크쇼,,,2024-05-08,,89244,863349600
쇼생크 탈출,,,1995-02-04,,47424,414947067
그녀가 죽었다,,,2024-05-15,,1222026,11678452411
극장판 하이큐!! 쓰레기장의 결전,,,2024-05-15,,712092,7323368219
가필드 더 무비,,,2024-05-15,,330676,2933737194
이프: 상상의 친구,,,2024-05-15,,99180,893665727
퓨리오사: 매드맥스 사가,,,2024-05-22,,1598438,16420271028
청춘 18X2 너에게로 이어지는 길,,,2024-05-22,,102090,990307787
설계자,,,2024-05-29,,522366,4701368067
드림 시나리오,,,2024-05-29,,21050,176741216
결속밴드 라이브 -항성-,,,2024-05-29,,10112,111595600
원더랜드,,,2024-06-05,,617681,5845032754
나쁜 녀석들: 라이드 오어 다이,,,2024-06-06,,137048,1358773646
명탐정 코난 VS 괴도 키드,,,2024-06-05,,87601,865586100
존 오브 인터레스트,,,2024-06-05,,176337,1757309291
인사이드 아웃 2,,,2024-06-12,,8754802,84092974628
드라이브,,,2024-06-12,,55613,503856455
하이재킹,,,2024-06-21,,1767851,16793987644
핸섬가이즈,,,2024-06-26,,1763296,16481831900
프렌치 수프,,,2024-06-19,,30105,285073279
콰이어트 플레이스: 첫째 날,,,2024-06-26,,545376,5310419896
밤낚시,,, ,,40131,44484000
언더더씨: 마법 산호초를 찾아서,,,2024-06-27,,19344,162477855
탈주,,,2024-07-03,,2544280,24075867072
퍼펙트 데이즈,,,2024-07-03,,83592,787374539
만천과해,,,2024-07-03,,8929,66459700
탈출: 프로젝트 사일런스,,,2024-07-12,,672057,6553801231
